Title,Image,fn,Comment
"Nothing new here, move on.",https://secure.gravatar.com/avatar/?s=32&r=g,Don,Reply
Nice.,https://secure.gravatar.com/avatar/?s=32&r=g,Loopdie Loop,Reply
"Not a bad use of a brand ambassador – don’t speak, don’t act, just drive this car into a plane and look cool.",https://secure.gravatar.com/avatar/?s=32&r=g,Sarah mont,Reply
Pretty incredible stuff from what I’ve heard about the money it cost,https://secure.gravatar.com/avatar/?s=32&r=g,Meister,Reply
Beautifully shot with some great sound. Would make a great cinema ad. Nice work.,https://secure.gravatar.com/avatar/?s=32&r=g,Big Boy,Reply
"Car companies. Take a risk. For the love of god.
And I like Jeeps – that will not make me rush out and buy one.",https://secure.gravatar.com/avatar/?s=32&r=g,Jesus.,Reply
"This is a good car ad. It pulls you in and makes you watch. And it doesn’t bang on about air conditioning, iPod docks or really special discounts. Better than 90% of cars ads out there.",https://secure.gravatar.com/avatar/?s=32&r=g,Come on,Reply
"pretty epic
that track has been a really good score for them
the digital element is a bit disjointed though – you land on the page and there is not enough instructional content to tell you what it is, what to do or why do bother doing it
i want a jeep",https://secure.gravatar.com/avatar/?s=32&r=g,bill,Reply
I cannot complete the adventure. What does a dude getting in a plane and snippets of a surfer mean about anything? I hope when this goes live the website or something actually connects the dots.,https://secure.gravatar.com/avatar/?s=32&r=g,Wrong Gear,Reply
"I wonder what the budget on this was. I hear it’s their style to offer the job to a green Director as “One for the reel”. It might be, but where does that leave the industry? Car TVC’s for 50k and people working for free. I’m sure Jeep are still racking it in. Just doesn’t weigh up as fair to me.",https://secure.gravatar.com/avatar/?s=32&r=g,Left wondering,Reply
I longer more poinderous version would be good. Maybe a 90?,https://secure.gravatar.com/avatar/?s=32&r=g,Elvis,Reply
Nice work boys.,https://secure.gravatar.com/avatar/?s=32&r=g,Gav,Reply
"Anyone that has posted a positive comment on this, should move on.
It’s a great example of where the brand shouldn’t be heading.",https://secure.gravatar.com/avatar/205e62cfbebe1b6405cb7a0e0be251cf?s=32&r=g,Really?,Reply
"Quite interesting the way it’s loaded into a cargo plane, but the scene seems a little bit sedate.
Perhaps the finishing shot could be something like this…
https://www.youtube.com/watch?v=PLXhPoxytsM",https://secure.gravatar.com/avatar/?s=32&r=g,Biggles,Reply
